Fund_id,Project_id,Donor_num,Cum_amount,Target_amount
452,53944753498422663SZ55802,457,6793.15,4000000.00 
299,53177511741113428GO97591,293,905.53,200000.00 
721,53720195147489918WJ76331,1419,11655.79,1542222.00 
794,53406939890210188PN62682,3304,61406.88,2000000.00 
794,53512145539548878JG31971,5837,645754.61,6000000.00 
794,53581261783147835OL64230,1547,24113.25,200000.00 
212,53766464824194168ZI97173,24223,449373.33,960120.00 
866,53630429499088661WM53555,754,14876.6,816000.00 
212,53110462318985975FT90335,52204,2028523.46,5000000.00 
212,53104857302436212KR37942,4658,131274.5,300000.00 
212,53881696575817242AF63010,595,8752.93,1200000.00 
79,53825425548448163PN62174,1277,12136.67,25000.00 
777,53197549719984049EQ42611,815,8550.06,2000000.00 
424,53976190102782589XM77776,1000,6426.84,300000.00 
233,53983943388191967NS52626,540,4292.09,100000.00 
136,53851657053582650IE24276,1979,7859.95,1868750.00 
770,53115125624062176KA34999,1775,12374.39,400000.00 
166,53293525695560923IB27408,1354,55999.99,350000.00 
747,53509826170384678TL77855,216,1360.44,108888.00 
747,53996564256514578WB77908,316,1904.64,1301666.00 
747,53778508388758696KM26664,144,796.71,371666.00 
888,53819235686014739OT62986,643,4482.86,100000.00 
888,53594174571099053IX77538,687,5770.14,100000.00 
888,53332670216067886VW91002,439,4417.8,100000.00 
79,53275988169316597SL10894,662,9288.07,25000.00 
79,53514485633811690RT75245,419,3268.73,15000.00 
794,53859206530445502JB97030,270,2053.38,100000.00 
794,53694989501221185JW74775,290,1459.14,100000.00 
794,53786618522715088TQ79156,512,9898.1,100000.00 
794,53185951779568143NB87007,224,1385.39,100000.00 
794,53208076270527808OV60528,529,11786.28,100000.00 
794,53194032845215176DC73384,190,743.48,100000.00 
794,53581323757801269QZ42813,286,23315.43,100000.00 
764,53610800433025946SL93204,164,920.93,100000.00 
794,53980621478339043RB85166,182,1084.65,200000.00 
749,53743772754475764JK31989,50,149505,0.00 
212,53739313936740264NJ57257,9116,384352.28,990000.00 
212,53659927661853279OH91681,7597,93212.87,500400.00 
212,53246426152612015WT56769,13971,916903.3,1600000.00 
212,53699655503981978IT97764,18121,1027178.63,2000000.00 
212,53177084756242185EQ57397,7395,345948.05,962280.00 
794,53943773162724884UE60351,1076,9433.49,340000.00 
233,53471396536436699PV78802,1645,5340.66,2014600.00 
737,53787087454759757YD50263,830,7968.23,200000.00 
166,53546634287399442FZ14169,1334,6976.37,96000.00 
212,53906731625155482YY32550,5859,486697.38,1000000.00 
212,53662542337303556IL39707,12644,398516.72,1000000.00 
212,53267503227705208CO87443,14349,913437.03,1000000.00 
212,53409505807244396ZC78842,13549,866322.26,2000000.00 
212,53780476094140018LS69410,16180,59825.06,600000.00 
